City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vershino-darasunskiy,52.35,115.5167,-16.72,93,17,1.64,RU,1699734065
1,edinburgh of the seven seas,-37.0676,-12.3116,14.76,90,87,9.62,SH,1699733791
2,blackmans bay,-43.0167,147.3167,10.96,69,100,1.34,AU,1699734067
3,vilyuchinsk,52.9306,158.4028,2.15,73,59,19.66,RU,1699734068
4,puerto baquerizo moreno,-0.9,-89.6,28.55,61,40,6.69,EC,1699734069
5,chinde,26.8418,88.0763,12.38,70,1,2.26,NP,1699734069
6,arraias,-12.9288,-46.9437,35.74,17,38,1.09,BR,1699734070
7,santiago,-33.4569,-70.6483,17.0,78,100,4.63,CL,1699733467
8,college,64.8569,-147.8028,-9.03,81,100,1.54,US,1699734072
9,kodiak,57.79,-152.4072,1.73,55,75,10.8,US,1699734073
10,iqaluit,63.7506,-68.5145,-9.15,78,100,5.66,CA,1699733917
11,port-aux-francais,-49.35,70.2167,3.25,66,11,6.32,TF,1699733792
12,salta,-24.7859,-65.4117,39.76,17,20,9.26,AR,1699734077
13,nagqu,31.5,92.0,-3.92,63,100,4.39,CN,1699734078
14,manokwari,-0.8667,134.0833,25.72,80,100,1.89,ID,1699734079
15,fale old settlement,-9.3852,-171.2468,28.61,74,94,3.22,TK,1699734079
16,yellowknife,62.456,-114.3525,0.23,100,100,4.63,CA,1699734080
17,ushuaia,-54.8,-68.3,6.81,65,75,8.05,AR,1699733812
18,taupo,-38.6833,176.0833,11.55,62,15,1.36,NZ,1699734082
19,aasiaat,68.7098,-52.8699,-11.14,77,100,3.61,GL,1699734083
20,grand falls-windsor,48.9332,-55.6649,1.95,87,100,0.89,CA,1699734084
21,lihue,21.9789,-159.3672,28.58,74,100,6.17,US,1699734085
22,punta arenas,-53.15,-70.9167,8.06,49,0,9.26,CL,1699734085
23,fukura,34.25,134.7167,12.0,87,75,4.12,JP,1699734086
24,waitangi,-43.9535,-176.5597,12.68,83,3,3.13,NZ,1699734087
25,grytviken,-54.2811,-36.5092,3.03,91,54,1.26,GS,1699734088
26,nefta,33.8731,7.8777,18.14,38,1,1.13,TN,1699734089
27,udachny,66.4167,112.4,-11.97,87,98,5.3,RU,1699734090
28,invercargill,-46.4,168.35,16.12,55,100,7.15,NZ,1699734025
29,saipan,15.1355,145.701,28.39,78,40,6.69,MP,1699734092
